event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2024-01-01 06:18:11,page_view,prod_92,cat_2,electronics.accessories,Lenovo,381.09,947,sess_2338
2024-01-01 22:16:45,page_view,prod_47,cat_9,electronics.laptops,Sony,917.26,574,sess_1512
2024-01-01 16:45:54,search,prod_72,cat_5,electronics.phones,HP,127.64,61,sess_1502
2024-01-01 07:40:34,click,prod_51,cat_4,electronics.accessories,HP,382.08,822,sess_2937
2024-01-01 01:32:13,login,prod_64,cat_15,electronics.laptops,Samsung,351.78,647,sess_679
2024-01-01 09:50:00,login,prod_4,cat_2,electronics.phones,LG,908.49,279,sess_2659
2024-01-01 19:38:13,add_to_cart,prod_100,cat_12,electronics.tablets,LG,280.27,955,sess_4386
2024-01-01 06:51:23,logout,prod_20,cat_18,electronics.laptops,Apple,309.62,782,sess_3742
2024-01-01 23:25:35,add_to_cart,prod_6,cat_20,electronics.phones,LG,417.39,45,sess_728
2024-01-01 03:56:03,signup,prod_30,cat_7,electronics.phones,Sony,965.61,22,sess_1924
2024-01-01 03:30:31,logout,prod_65,cat_6,electronics.laptops,LG,277.04,190,sess_3995
2024-01-01 08:25:37,purchase,prod_66,cat_6,electronics.laptops,HP,43.15,818,sess_1081
2024-01-01 08:26:24,purchase,prod_32,cat_9,electronics.accessories,Lenovo,662.31,836,sess_3316
2024-01-01 17:06:08,page_view,prod_91,cat_14,electronics.laptops,HP,621.87,750,sess_4617
2024-01-01 15:45:55,search,prod_46,cat_19,electronics.tablets,LG,551.6,879,sess_902
2024-01-01 19:34:58,login,prod_97,cat_16,electronics.laptops,HP,601.86,567,sess_3992
2024-01-01 00:05:47,logout,prod_36,cat_20,electronics.tablets,Sony,538.71,328,sess_1670
2024-01-01 22:23:45,logout,prod_54,cat_12,electronics.tablets,LG,81.88,574,sess_2894
2024-01-01 17:01:07,login,prod_24,cat_15,electronics.laptops,Dell,50.63,920,sess_2353
2024-01-01 03:00:31,search,prod_97,cat_7,electronics.accessories,Apple,420.93,488,sess_2003
2024-01-01 06:26:47,page_view,prod_90,cat_11,electronics.phones,Apple,220.76,436,sess_4653
2024-01-01 13:40:59,click,prod_13,cat_8,electronics.laptops,Apple,334.81,939,sess_2893
2024-01-01 17:25:31,add_to_cart,prod_83,cat_17,electronics.phones,Lenovo,129.87,187,sess_4387
2024-01-01 12:32:31,signup,prod_73,cat_7,electronics.phones,HP,816.95,816,sess_2136
2024-01-01 23:26:34,purchase,prod_43,cat_16,electronics.accessories,LG,887.04,977,sess_3890
2024-01-01 06:14:08,click,prod_46,cat_2,electronics.accessories,HP,581.97,66,sess_1838
2024-01-01 22:34:39,logout,prod_100,cat_12,electronics.laptops,Samsung,230.68,348,sess_776
2024-01-01 04:13:18,signup,prod_2,cat_10,electronics.tablets,LG,640.33,929,sess_3485
2024-01-01 20:28:44,login,prod_96,cat_12,electronics.tablets,Samsung,795.67,749,sess_3022
2024-01-01 07:41:41,signup,prod_89,cat_6,electronics.accessories,LG,995.56,571,sess_381
2024-01-02 17:41:55,click,prod_95,cat_7,electronics.phones,LG,884.79,697,sess_1962
2024-01-02 17:43:50,purchase,prod_55,cat_2,electronics.phones,Dell,637.18,244,sess_374
2024-01-02 19:13:59,click,prod_22,cat_20,electronics.phones,Lenovo,15.68,663,sess_556
2024-01-02 08:58:37,page_view,prod_77,cat_8,electronics.laptops,Dell,117.08,10,sess_501
2024-01-02 15:06:00,login,prod_76,cat_5,electronics.phones,Sony,973.38,111,sess_3013
2024-01-02 16:02:06,purchase,prod_95,cat_17,electronics.phones,Dell,560.71,208,sess_4268
2024-01-02 23:46:05,login,prod_26,cat_9,electronics.tablets,Dell,959.63,831,sess_836
2024-01-02 17:54:22,click,prod_100,cat_4,electronics.tablets,Sony,515.72,1,sess_4238
2024-01-02 14:45:17,login,prod_17,cat_2,electronics.laptops,Samsung,791.3,624,sess_504
2024-01-02 09:15:49,page_view,prod_49,cat_18,electronics.tablets,Lenovo,602.5,264,sess_3322
2024-01-02 22:42:37,logout,prod_52,cat_16,electronics.laptops,Sony,43.52,127,sess_4379
2024-01-02 07:23:11,purchase,prod_100,cat_3,electronics.tablets,Samsung,850.39,274,sess_3713
2024-01-02 20:26:51,search,prod_37,cat_11,electronics.tablets,Dell,42.12,421,sess_4681
2024-01-02 13:24:12,click,prod_10,cat_9,electronics.laptops,Dell,340.89,535,sess_4477
2024-01-02 09:29:14,add_to_cart,prod_15,cat_14,electronics.accessories,Dell,284.3,492,sess_3205
2024-01-02 16:55:38,search,prod_6,cat_6,electronics.accessories,Sony,753.3,213,sess_3940
2024-01-02 00:48:55,add_to_cart,prod_29,cat_12,electronics.accessories,Dell,606.77,48,sess_297
2024-01-02 02:14:59,purchase,prod_66,cat_20,electronics.tablets,Sony,966.28,504,sess_1883
2024-01-02 18:22:34,add_to_cart,prod_44,cat_8,electronics.accessories,Apple,384.26,178,sess_3428
2024-01-02 21:26:05,click,prod_76,cat_9,electronics.accessories,Sony,974.37,883,sess_3715
2024-01-02 18:17:39,add_to_cart,prod_48,cat_11,electronics.laptops,HP,607.24,221,sess_1630
